Test name,Fallos en 200,Test time average,Trajectory time average,Path cost average,SEM Cost,SEM Time Test,SEM Time Path
test_1_a_tbirrt_results.txt,0,0.4417,6.4500,4380930.15,13124.54,0.0027,0.0000
test_1_a_trrt_results.txt,0,0.2386,6.4500,4337784.65,15580.32,0.0032,0.0000
test_2_a_tbirrt_results.txt,0,2.2379,10.9845,8224321.20,30265.35,0.3418,0.0083
test_2_a_trrt_results.txt,1,4.2133,10.9950,8210711.96,54355.30,0.4800,0.0552
test_3_a_tbirrt_results.txt,0,0.6037,8.1658,5981473.35,13428.44,0.0088,0.0026
test_3_a_trrt_results.txt,0,0.8286,8.2193,6072337.10,26388.49,0.1088,0.0085
test_4_a_tbirrt_results.txt,0,53.8656,12.7530,9131211.35,28188.39,7.7872,0.0079
test_4_a_trrt_results.txt,7,5.2002,12.6855,9391113.42,127266.06,1.0198,0.1650
test_5_a_tbirrt_results.txt,0,153.1708,13.4365,9866945.05,35617.88,13.7886,0.0142
test_5_a_trrt_results.txt,4,7.9337,13.2462,10224056.89,106930.42,0.9057,0.1316
test_6_a_tbirrt_results.txt,0,15.8564,13.0393,9217253.05,25757.95,1.1591,0.0095
test_6_a_trrt_results.txt,1,1.4059,12.9510,9250445.78,52572.74,0.3638,0.0649
